Birch_base,DBSCAN_base,Birch_random_best,DBSCAN_random_best,Passed
669,0,189,0,1
1009,1,3106,1,0
59,2,149,2,0
188,3,1359,3,0
1366,4,3192,0,0
685,5,3459,1,1
470,8,0,4,1
2073,6,201,4,0
1588,7,581,3,1
2505,5,2051,1,0
2636,4,2232,0,0
1074,0,3183,0,0
1824,3,2833,3,0
3125,10,2585,5,1
3147,2,2586,2,1
2541,5,2416,1,0
690,5,3621,1,0
1138,7,262,3,1
3011,8,2758,4,0
1349,2,3390,2,1
2067,7,647,3,1
717,8,1876,4,0
1948,1,169,1,0
3033,7,2952,3,1
2541,5,2416,1,1
1699,8,204,4,1
1048,1,2953,1,1
1953,5,2034,1,0
965,9,3108,2,0
1699,8,2005,4,1
1002,8,3109,4,1
513,9,1017,2,1
837,2,972,2,0
2567,8,2233,4,1
425,1,1676,1,1
2777,0,2417,0,0
1858,0,2830,0,1
2819,4,2538,0,1
3134,0,2419,0,1
1719,4,206,0,1
658,0,1910,0,1
600,3,1687,3,1
1197,9,3110,2,0
1611,11,898,5,0
657,-1,1897,4,1
2507,1,2234,1,0
3120,8,2819,4,0
883,5,899,1,1
368,2,1907,2,0
1168,4,3251,0,1
1193,5,3185,1,1
2425,8,2758,4,0
1701,6,2806,4,1
1955,10,64,5,1
2318,11,207,5,0
411,7,1129,3,1
1099,6,3111,4,1
1957,11,2759,5,0
1976,4,62,0,1
2321,1,1526,1,0
2509,1,2420,1,1
1987,7,163,3,0
2789,9,2470,2,1
2653,9,2314,2,1
1953,5,2034,1,0
404,1,1361,1,1
1583,2,1008,2,0
2060,11,209,5,1
1708,8,204,4,0
956,2,3112,2,0
667,4,103,0,1
373,3,1018,3,1
669,0,60,0,0
2029,8,462,4,1
2553,-1,2237,0,1
57,8,66,4,1
1737,8,117,4,1
1108,3,3372,3,1
994,1,3130,1,1
3127,2,3720,2,1
1737,8,3113,4,1
2715,4,1559,0,1
2327,4,1444,0,0
3109,7,3391,3,0
775,7,3491,3,1
1335,8,3458,4,1
2218,0,1323,0,0
1830,0,2842,0,0
683,3,3393,3,1
597,8,1677,4,0
838,11,958,5,0
190,5,68,1,1
2793,5,2415,1,1
1740,8,2760,4,1
674,8,2551,4,0
3127,2,3829,2,0
1736,2,211,2,1
0,-1,1,6,1
2508,9,2231,2,1
871,2,1678,2,0
2975,4,2623,0,0
1948,1,3106,1,0
1951,3,2833,3,1
3087,1,2955,1,0
576,6,1679,4,1
1532,6,777,4,1
2231,9,1324,2,1
1970,0,3129,0,1
1960,2,72,2,1
2747,0,2144,0,1
1739,5,227,1,0
1591,3,659,3,0
1962,1,3115,1,1
2199,9,1324,2,0
839,9,3441,2,1
1972,1,78,1,1
1703,9,2846,2,0
3085,8,3394,4,1
421,7,1388,3,1
1617,6,658,4,1
1955,10,64,5,1
773,1,3481,1,1
342,6,1019,4,0
1452,8,3497,4,0
1952,7,592,3,1
2050,3,829,3,0
869,2,101,2,0
2510,8,2761,4,1
2728,0,1910,0,1
672,4,2421,0,1
2352,5,2422,1,0
1705,7,2796,3,0
1441,4,3396,0,1
