Birch_base,DBSCAN_base,Birch_bayes_best,DBSCAN_bayes_best,Passed
376,0,1052,0,1
2580,1,1775,1,0
264,2,902,2,0
290,3,903,3,0
2351,4,1557,0,0
858,5,1648,1,1
670,-1,462,4,1
505,6,962,4,0
0,5,1933,1,0
1026,4,691,0,0
1895,3,2264,3,0
2277,10,1704,5,1
1342,2,2262,2,1
1672,5,1901,1,0
808,-1,216,1,0
1835,7,2363,3,1
1723,8,2161,4,0
2233,2,1871,2,1
745,8,434,4,0
2573,1,1610,1,0
1712,-1,2267,3,1
1672,5,1901,1,1
1858,8,2268,4,1
41,5,2526,1,0
2272,9,1685,2,0
1398,8,1586,4,1
42,9,1476,2,1
921,2,178,2,0
1131,8,785,4,1
563,1,1,1,1
2171,0,791,0,0
1862,0,2507,0,1
1083,4,810,0,1
1308,0,1709,0,1
1785,4,2316,0,1
1185,0,444,0,1
746,3,165,3,1
835,-1,179,5,0
1166,-1,857,4,1
1215,1,1902,1,0
1363,8,2324,4,0
961,5,2,1,1
68,2,561,2,0
1766,8,1947,4,0
1816,6,2269,4,1
2578,10,1534,5,1
2094,11,2435,5,0
82,7,1368,3,1
1384,11,2103,5,0
2360,4,1703,0,1
1942,1,2436,1,0
2121,1,1807,1,1
2588,7,1535,3,0
1044,9,2104,2,1
1548,-1,1903,2,1
41,5,2526,1,0
1,1,1360,1,1
2348,2,210,2,0
1964,11,2437,5,1
1858,8,2438,4,0
2643,4,1676,0,1
662,3,1446,3,1
871,0,287,0,0
513,8,1204,4,1
358,8,1203,4,1
2582,8,1569,4,1
2580,1,1590,1,1
2211,2,1710,2,1
2582,8,1536,4,1
1266,4,445,0,1
2013,4,2439,0,0
2432,7,1535,3,0
2432,7,374,3,1
2527,8,1536,4,1
1995,0,2440,0,0
1974,0,2433,0,0
2442,3,1711,3,1
602,8,446,4,0
876,11,180,5,0
278,5,906,1,1
2158,5,761,1,1
1398,8,1586,4,0
2211,2,1705,2,0
1965,2,2270,2,1
1532,9,2087,2,1
747,2,281,2,0
1305,4,2105,0,0
2597,1,1736,1,0
1895,3,2264,3,1
1819,1,2271,1,0
595,6,729,4,1
973,6,1679,4,1
187,12,1332,2,1
2003,0,1537,0,1
2637,2,902,2,1
1236,0,444,0,1
1838,5,2306,1,0
2353,3,1596,3,0
106,12,1229,2,0
836,9,181,2,1
2587,1,1532,1,1
1842,9,2273,2,0
2258,8,1820,4,1
131,7,1298,3,1
981,6,1091,4,1
2578,10,988,5,1
2123,1,407,1,1
364,6,1362,4,0
2122,8,282,4,0
441,3,1130,3,0
256,2,1605,2,0
1363,8,2204,4,1
1259,0,444,0,1
1404,4,1713,0,1
1355,5,2012,1,0
1893,7,2277,3,0
2528,4,1540,0,1
1915,-1,2441,3,0
2465,1,219,1,0
2095,6,2543,4,1
2571,2,1881,2,1
1417,3,2181,3,1
2030,10,2443,5,1
2565,8,1898,4,1
1765,-1,2368,2,1
400,2,1167,2,0
2155,1,1543,1,1
2380,7,275,3,1
591,5,632,1,1
494,6,1027,4,0
2529,8,1542,4,1
1096,9,759,2,0
2,1,447,1,0
3,1,448,1,0
1962,0,2433,0,1
2611,8,1544,4,1
1386,4,757,0,0
953,7,184,3,1
1731,2,2106,2,0
313,0,1363,0,0
788,-1,616,3,1
2582,8,1586,4,1
983,7,859,3,0
345,4,1053,0,1
675,8,449,4,1
107,9,1364,2,0
277,1,909,1,0
1897,4,2522,0,0
226,6,1362,4,0
2412,7,1670,3,0
2529,8,1542,4,0
2263,7,1757,3,0
1196,0,766,0,1
2580,1,2386,1,0
2644,4,1545,0,1
1385,3,2275,3,0
510,8,984,4,0
2623,9,1562,2,1
43,8,449,4,1
1385,3,2275,3,1
1417,3,1939,3,1
879,-1,186,5,1
2248,2,1887,2,1
1339,10,2107,5,0
1891,9,2445,2,0
747,2,141,2,0
104,4,576,0,0
1858,8,2268,4,1
2245,9,1706,2,1
2236,9,1715,2,1
2188,4,1683,0,0
2622,8,984,4,0
2179,3,1839,3,1
2609,2,1547,2,0
